roomID,accuracy,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numReviews,numRooms,price,rating,value,bath,private bath,shared bath,Studio,bedroom,Entire home/apt,Private room,Shared room
17462144,10.0,10.0,10.0,10.0,98.0,1,40.747923909290925,10.0,-73.9477474502277,1.0,2,5,51.0,2,171,5.0,10.0,1,0,0,0,1,1,0,0
19752415,10.0,10.0,10.0,10.0,99.0,1,40.766295419894526,10.0,-73.98505680678969,1.0,1,2,17.0,1,24,5.0,10.0,0,0,1,0,1,0,1,0
20155394,10.0,10.0,10.0,10.0,100.0,0,40.70042343810348,10.0,-73.91798837170728,1.0,1,3,3.0,1,55,5.0,10.0,0,0,1,0,1,0,1,0
9350060,9.0,9.0,8.0,9.0,84.0,0,40.74926008411924,9.0,-73.98347362976105,1.0,3,6,62.0,2,209,4.0,8.0,1,0,0,0,1,1,0,0
16175456,10.0,10.0,10.0,10.0,95.0,0,40.71341228335544,10.0,-73.9482437112849,1.0,3,3,99.0,1,42,5.0,10.0,0,0,1,0,1,0,1,0
12167152,10.0,10.0,10.0,10.0,97.0,1,40.73970822611006,10.0,-73.99829093043816,1.0,1,2,37.0,1,169,5.0,10.0,0,0,1,0,1,0,1,0
68974,10.0,10.0,10.0,10.0,96.0,1,40.71943093645792,9.0,-73.99626741119089,1.0,3,8,160.0,3,500,5.0,10.0,1,0,0,0,1,1,0,0
2905565,10.0,10.0,10.0,10.0,95.0,0,40.72580907135021,9.0,-73.9766216693539,2.0,2,4,12.0,2,369,5.0,10.0,1,0,0,0,1,1,0,0
22391951,10.0,10.0,10.0,10.0,100.0,0,40.761602544726756,10.0,-73.98812940869095,1.0,1,2,3.0,1,100,5.0,10.0,0,1,0,0,1,0,1,0
20780654,9.0,9.0,10.0,9.0,98.0,1,40.81717131143451,9.0,-73.93855605742549,1.0,1,2,10.0,1,30,5.0,10.0,0,0,1,0,1,0,1,0
6445173,10.0,10.0,10.0,10.0,97.0,0,40.71106108674749,9.0,-73.94918046151649,2.0,3,6,105.0,2,250,5.0,10.0,1,0,0,0,1,1,0,0
8628309,10.0,10.0,10.0,10.0,96.0,1,40.708378098333114,10.0,-74.00880171517417,1.0,4,6,147.0,2,169,5.0,10.0,1,0,0,0,1,1,0,0
