accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
9,private bath,beds,bedroom,10,9,10,96,false,40.70614024685832,10,-74.00626113784281,1,2,4,251,80,1,81,5,,15007810,,Private room,9
,bath,beds,bedroom,,,,,false,40.789037275966145,,-73.97171841371917,1,2,4,,,1,95,,,23035441,,Entire home/apt,
9,bath,bed,bedroom,10,10,10,95,true,40.75890953637213,9,-73.9953539570262,1,1,2,,49,1,90,5,,16086336,,Private room,10
9,bath,bed,bedroom,10,9,10,93,false,40.72143950594076,10,-73.99434765841256,1,1,1,,68,1,95,4.5,,4437053,,Private room,9
10,bath,bed,bedroom,10,9,10,90,false,40.70766207690099,9,-73.945396290484,1,1,5,20,20,1,94,4.5,,15720224,,Entire home/apt,9
10,shared bath,bed,bedroom,10,9,10,97,true,40.72197884433856,10,-73.98784710994005,1,1,1,159,38,1,90,5,,16546557,,Private room,9
10,bath,bed,Studio,10,10,10,98,true,40.8082704527085,9,-73.9381297077341,1,1,2,,39,0,96,5,,17122439,,Entire home/apt,10
10,bath,bed,bedroom,10,9,10,93,false,40.7632625319333,10,-73.98886528789433,1,1,3,,136,1,99,4.5,,12225681,,Entire home/apt,9
10,bath,beds,bedrooms,10,10,10,100,false,40.752557371214564,10,-73.993595357467,1,2,6,5,3,2,99,5,,21992083,,Entire home/apt,10
10,bath,bed,bedroom,10,9,10,97,true,40.738572474097204,10,-74.03897875786598,1,1,2,39,37,1,100,5,,3887785,,Entire home/apt,9
9,bath,beds,bedrooms,9,9,10,91,false,40.76122387940291,10,-73.99129127739315,1,4,6,,28,2,90,4.5,,19954751,,Entire home/apt,9
10,bath,beds,bedroom,9,9,10,92,false,40.738371453335645,10,-74.00801496705522,1,2,4,149,43,1,98,4.5,,19389284,,Entire home/apt,9
10,baths,beds,bedrooms,10,10,10,98,false,40.74701059659874,10,-74.04244004159953,1.5,5,0,59,27,3,99,5,,19620294,,Entire home/apt,10
10,bath,beds,bedroom,10,10,10,97,true,40.78044776384441,10,-73.95277674621015,1,2,3,,65,1,97,5,,17653754,,Entire home/apt,10
10,bath,bed,Studio,10,10,10,100,false,40.72759590193288,10,-73.94495385028532,1,1,2,,10,0,99,5,,10155003,,Entire home/apt,10
,bath,bed,Studio,,,,,false,40.71774093904675,,-73.99056559776125,1,1,2,2,,0,100,,,22600713,,Entire home/apt,
10,baths,bed,bedroom,10,9,10,96,true,40.743617207422886,10,-73.99982684863754,1.5,1,2,70,57,1,99,5,,15865298,,Private room,9
9,bath,beds,bedroom,10,9,10,89,false,40.74682945564425,9,-73.97376088705212,1,2,4,96,95,1,100,4.5,,13082198,,Entire home/apt,9
10,bath,bed,bedroom,10,10,10,99,true,40.76132269880071,10,-73.92477063433478,1,1,3,,28,1,100,5,,18566623,,Entire home/apt,10
,bath,bed,bedroom,,,,,false,40.75961800334079,,-73.9915449761118,1,1,2,,,1,105,,,22562531,,Entire home/apt,
10,bath,beds,bedrooms,10,10,10,93,false,40.79524058069423,9,-73.94286375006176,1,2,6,20,20,2,109,4.5,,17478124,,Entire home/apt,10
10,private bath,bed,bedroom,10,10,10,100,false,40.71024051005147,10,-73.95992195649573,1,1,2,78,20,1,100,5,,8760046,,Private room,10
10,bath,bed,bedroom,10,10,10,100,false,40.72026042170323,10,-73.94290500205119,1,1,3,,5,1,109,5,,19432159,,Entire home/apt,10
10,bath,beds,bedroom,10,10,10,98,true,40.758682238769374,10,-73.92614803814283,1,3,4,,64,1,100,5,,14322869,,Entire home/apt,10
9,bath,beds,Studio,9,9,9,88,false,40.746585783004036,10,-73.98747071004982,1,3,5,343,94,0,105,4.5,,9310083,,Entire home/apt,9
10,bath,beds,bedroom,10,9,10,100,false,40.70474733739091,10,-73.93435053891531,1,2,4,17,6,1,100,5,,21058546,,Entire home/apt,9
10,bath,beds,Studio,10,9,10,92,false,40.79746642534779,9,-73.93559474882832,1,2,4,,51,0,110,4.5,,16677866,,Entire home/apt,9
9,bath,beds,bedroom,10,9,10,93,false,40.75813504129202,10,-73.96195418494361,1,2,4,117,112,1,100,4.5,,13122275,,Entire home/apt,9
,bath,bed,Studio,,,,,false,40.76553973817593,,-73.9846524181766,1,1,2,33,,0,100,,,22222474,,Entire home/apt,
9,private baths,bed,bedroom,9,9,9,89,false,40.772004609652384,10,-73.98252754041566,1.5,1,3,,23,1,101,4.5,,17029206,,Private room,9
9,bath,beds,bedroom,10,8,10,86,false,40.79092218219303,8,-73.94258268588877,1,2,3,,42,1,108,4.5,,9371171,,Entire home/apt,8
10,bath,beds,Studio,10,8,10,92,false,40.757968477663454,10,-73.97003996200644,1,2,3,34,12,0,100,4.5,,14745847,,Entire home/apt,8
10,bath,bed,Studio,10,10,10,97,true,40.810513486715074,9,-73.94722520315734,1,1,2,53,50,0,100,5,,9434464,,Entire home/apt,10
10,bath,beds,Studio,10,10,10,95,false,40.76774350001782,10,-73.99206822653704,1,2,2,124,96,0,109,5,,5045267,,Entire home/apt,10
10,bath,bed,Studio,10,9,10,94,false,40.73032412048562,10,-73.98535635954481,1,1,2,,77,0,117,4.5,,12738946,,Entire home/apt,9
,shared bath,bed,bedroom,,,,,false,40.724323513901915,,-73.98915696505726,1,1,2,,,1,110,,,22499295,,Private room,
10,bath,beds,bedrooms,10,10,10,96,true,40.767432811306705,9,-74.02997724072885,1,4,6,172,167,2,115,5,,2767729,,Entire home/apt,10
